household_id;municipality_id;grid_id;HLA;HSC;HSI;age;SEX;AG2;EMP
055540036036-6;055540036036;100mN32169E41224;S;NA;1;25;F;2529;NEP
055540036036-7;055540036036;100mN32217E41211;MC;NA;2;60;F;5064;NEP
055540036036-7;055540036036;100mN32217E41211;MC;NA;2;60;F;5064;NEP
055540036036-8;055540036036;100mN32197E41249;S;OS;1;26;F;2529;EMP
055540036036-9;055540036036;100mN32176E41218;S;NA;1;43;F;4049;EMP
055540036036-10;055540036036;100mN32171E41221;MC;NA;5;62;F;5064;NEP
055540036036-10;055540036036;100mN32171E41221;MC;NA;5;32;F;3039;EMP
055540036036-10;055540036036;100mN32171E41221;MC;NA;5;3;M;0305;NEP
055540036036-10;055540036036;100mN32171E41221;MC;NA;5;1;F;0003;NEP
055540036036-10;055540036036;100mN32171E41221;MC;NA;5;8;F;0614;NEP
055540036036-11;055540036036;100mN32173E41226;MC;NA;2;28;F;2529;EMP
055540036036-11;055540036036;100mN32173E41226;MC;NA;2;22;M;1824;EMP
055540036036-12;055540036036;100mN32176E41220;SF;MIX;4;69;M;6574;NEP
055540036036-12;055540036036;100mN32176E41220;SF;MIX;4;89;F;75XX;NEP
055540036036-12;055540036036;100mN32176E41220;SF;MIX;4;0;M;0003;NEP
055540036036-12;055540036036;100mN32176E41220;SF;MIX;4;35;M;3039;EMP
055540036036-13;055540036036;100mN32196E41252;SF;NA;3;42;F;4049;EMP
055540036036-13;055540036036;100mN32196E41252;SF;NA;3;13;F;0614;NEP
055540036036-13;055540036036;100mN32196E41252;SF;NA;3;3;F;0305;NEP
055540036036-14;055540036036;100mN32173E41227;SF;NA;2;59;M;5064;EMP
055540036036-14;055540036036;100mN32173E41227;SF;NA;2;28;M;2529;EMP
055540036036-15;055540036036;100mN32227E41220;MC;NA;3;53;F;5064;NEP
055540036036-15;055540036036;100mN32227E41220;MC;NA;3;56;F;5064;EMP
055540036036-15;055540036036;100mN32227E41220;MC;NA;3;20;F;1824;EMP
055540036036-16;055540036036;100mN32173E41227;SM;NA;6;44;F;4049;NEP
055540036036-16;055540036036;100mN32173E41227;SM;NA;6;13;F;0614;NEP
055540036036-16;055540036036;100mN32173E41227;SM;NA;6;25;M;2529;EMP
055540036036-16;055540036036;100mN32173E41227;SM;NA;6;13;M;0614;NEP
055540036036-16;055540036036;100mN32173E41227;SM;NA;6;16;F;1517;NEP
055540036036-16;055540036036;100mN32173E41227;SM;NA;6;21;F;1824;EMP
055540036036-17;055540036036;100mN32175E41228;MC;NA;2;40;M;4049;EMP
055540036036-17;055540036036;100mN32175E41228;MC;NA;2;48;M;4049;NEP
055540036036-18;055540036036;100mN32208E41234;S;NA;1;44;F;4049;NEP
055540036036-19;055540036036;100mN32173E41227;S;NA;1;68;F;6574;EMP
055540036036-20;055540036036;100mN32175E41226;SF;NA;2;60;F;5064;NEP
055540036036-20;055540036036;100mN32175E41226;SF;NA;2;11;M;0614;NEP
055540036036-21;055540036036;100mN32174E41224;MC;NA;3;19;F;1824;NEP
055540036036-21;055540036036;100mN32174E41224;MC;NA;3;28;M;2529;EMP
055540036036-21;055540036036;100mN32174E41224;MC;NA;3;4;M;0305;NEP
055540036036-22;055540036036;100mN32217E41211;MC;NA;2;45;M;4049;EMP
055540036036-22;055540036036;100mN32217E41211;MC;NA;2;45;M;4049;EMP
055540036036-23;055540036036;100mN32171E41222;MC;OS;2;88;M;75XX;EMP
055540036036-23;055540036036;100mN32171E41222;MC;OS;2;85;M;75XX;EMP
055540036036-24;055540036036;100mN32184E41229;MC;NA;2;52;M;5064;EMP
055540036036-24;055540036036;100mN32184E41229;MC;NA;2;51;M;5064;NEP
055540036036-25;055540036036;100mN32192E41226;MC;MIX;2;87;F;75XX;EMP
055540036036-25;055540036036;100mN32192E41226;MC;MIX;2;23;M;1824;EMP
055540036036-26;055540036036;100mN32172E41225;S;OS;1;46;F;4049;NEP
055540036036-27;055540036036;100mN32176E41228;MC;NA;4;46;F;4049;NEP
055540036036-27;055540036036;100mN32176E41228;MC;NA;4;48;F;4049;EMP
055540036036-27;055540036036;100mN32176E41228;MC;NA;4;21;M;1824;EMP
055540036036-27;055540036036;100mN32176E41228;MC;NA;4;25;F;2529;EMP
055540036036-28;055540036036;100mN32207E41250;MC;OS;2;67;M;6574;EMP
055540036036-28;055540036036;100mN32207E41250;MC;OS;2;67;M;6574;EMP
055540036036-29;055540036036;100mN32207E41250;NA;NA;2;23;M;1824;UEP
055540036036-29;055540036036;100mN32207E41250;NA;NA;2;16;M;1517;EMP
055540036036-30;055540036036;100mN32207E41250;MC;NA;2;55;M;5064;EMP
055540036036-30;055540036036;100mN32207E41250;MC;NA;2;54;M;5064;EMP
055540036036-31;055540036036;100mN32207E41250;MC;OS;3;79;F;75XX;EMP
055540036036-31;055540036036;100mN32207E41250;MC;OS;3;79;M;75XX;NEP
055540036036-31;055540036036;100mN32207E41250;MC;OS;3;84;F;75XX;EMP
055540036036-32;055540036036;100mN32181E41224;MC;NA;5;46;M;4049;NEP
055540036036-32;055540036036;100mN32181E41224;MC;NA;5;45;M;4049;NEP
055540036036-32;055540036036;100mN32181E41224;MC;NA;5;12;M;0614;NEP
055540036036-32;055540036036;100mN32181E41224;MC;NA;5;22;F;1824;NEP
055540036036-32;055540036036;100mN32181E41224;MC;NA;5;13;M;0614;NEP
055540036036-33;055540036036;100mN32207E41250;MC;NA;5;46;M;4049;EMP
055540036036-33;055540036036;100mN32207E41250;MC;NA;5;18;M;1824;NEP
055540036036-33;055540036036;100mN32207E41250;MC;NA;5;16;M;1517;EMP
055540036036-33;055540036036;100mN32207E41250;MC;NA;5;4;F;0305;NEP
055540036036-33;055540036036;100mN32207E41250;MC;NA;5;28;F;2529;NEP
055540036036-34;055540036036;100mN32162E41180;MC;NA;2;25;M;2529;NEP
055540036036-34;055540036036;100mN32162E41180;MC;NA;2;23;F;1824;EMP
055540036036-35;055540036036;100mN32178E41224;MC;NA;3;33;M;3039;NEP
055540036036-35;055540036036;100mN32178E41224;MC;NA;3;33;F;3039;NEP
055540036036-35;055540036036;100mN32178E41224;MC;NA;3;3;M;0305;NEP
055540036036-36;055540036036;100mN32193E41206;MC;NA;6;28;M;2529;NEP
055540036036-36;055540036036;100mN32193E41206;MC;NA;6;27;F;2529;NEP
055540036036-36;055540036036;100mN32193E41206;MC;NA;6;3;M;0305;NEP
055540036036-36;055540036036;100mN32193E41206;MC;NA;6;12;M;0614;NEP
055540036036-36;055540036036;100mN32193E41206;MC;NA;6;9;M;0614;NEP
055540036036-36;055540036036;100mN32193E41206;MC;NA;6;13;M;0614;NEP
055540036036-37;055540036036;100mN32174E41226;S;NA;1;56;M;5064;EMP
055540036036-38;055540036036;100mN32180E41223;S;NA;1;60;F;5064;EMP
055540036036-39;055540036036;100mN32172E41221;MC;NA;2;56;F;5064;EMP
055540036036-39;055540036036;100mN32172E41221;MC;NA;2;56;F;5064;EMP
055540036036-40;055540036036;100mN32198E41261;PO;NA;2;57;M;5064;EMP
055540036036-40;055540036036;100mN32198E41261;PO;NA;2;53;M;5064;EMP
055540036036-41;055540036036;100mN32186E41211;S;NA;1;52;M;5064;EMP
055540036036-42;055540036036;100mN32195E41274;MC;NA;2;35;F;3039;EMP
055540036036-42;055540036036;100mN32195E41274;MC;NA;2;42;M;4049;EMP
055540036036-43;055540036036;100mN32175E41222;MC;NA;4;50;F;5064;EMP
055540036036-43;055540036036;100mN32175E41222;MC;NA;4;55;M;5064;EMP
055540036036-43;055540036036;100mN32175E41222;MC;NA;4;16;F;1517;EMP
055540036036-43;055540036036;100mN32175E41222;MC;NA;4;1;M;0003;NEP
055540036036-44;055540036036;100mN32196E41250;NA;NA;4;50;F;5064;EMP
055540036036-44;055540036036;100mN32196E41250;NA;NA;4;63;F;5064;EMP
055540036036-44;055540036036;100mN32196E41250;NA;NA;4;38;M;3039;EMP
055540036036-44;055540036036;100mN32196E41250;NA;NA;4;60;M;5064;EMP
055540036036-45;055540036036;100mN32175E41228;MC;NA;6;59;F;5064;EMP
055540036036-45;055540036036;100mN32175E41228;MC;NA;6;62;F;5064;EMP
055540036036-45;055540036036;100mN32175E41228;MC;NA;6;9;F;0614;NEP
055540036036-45;055540036036;100mN32175E41228;MC;NA;6;35;F;3039;NEP
055540036036-45;055540036036;100mN32175E41228;MC;NA;6;7;F;0614;NEP
055540036036-45;055540036036;100mN32175E41228;MC;NA;6;20;F;1824;NEP
055540036036-46;055540036036;100mN32175E41221;MC;MIX;2;73;F;6574;EMP
055540036036-46;055540036036;100mN32175E41221;MC;MIX;2;7;M;0614;NEP
055540036036-47;055540036036;100mN32171E41222;MC;NA;4;61;M;5064;EMP
055540036036-47;055540036036;100mN32171E41222;MC;NA;4;62;M;5064;NEP
055540036036-47;055540036036;100mN32171E41222;MC;NA;4;16;M;1517;EMP
055540036036-47;055540036036;100mN32171E41222;MC;NA;4;32;M;3039;EMP
055540036036-48;055540036036;100mN32197E41252;MC;NA;5;42;F;4049;EMP
055540036036-48;055540036036;100mN32197E41252;MC;NA;5;48;M;4049;EMP
055540036036-48;055540036036;100mN32197E41252;MC;NA;5;15;F;1517;EMP
055540036036-48;055540036036;100mN32197E41252;MC;NA;5;9;F;0614;NEP
055540036036-48;055540036036;100mN32197E41252;MC;NA;5;22;F;1824;EMP
055540036036-49;055540036036;100mN32171E41225;MC;NA;2;40;M;4049;EMP
055540036036-49;055540036036;100mN32171E41225;MC;NA;2;32;M;3039;NEP
055540036036-50;055540036036;100mN32169E41228;MC;NA;2;32;M;3039;EMP
055540036036-50;055540036036;100mN32169E41228;MC;NA;2;30;M;3039;EMP
055540036036-51;055540036036;100mN32196E41250;S;OS;1;34;F;3039;EMP
055540036036-52;055540036036;100mN32179E41227;MC;NA;2;25;F;2529;NEP
055540036036-52;055540036036;100mN32179E41227;MC;NA;2;18;M;1824;EMP
055540036036-53;055540036036;100mN32179E41227;MC;NA;3;37;F;3039;NEP
055540036036-53;055540036036;100mN32179E41227;MC;NA;3;46;M;4049;EMP
055540036036-53;055540036036;100mN32179E41227;MC;NA;3;12;M;0614;NEP
055540036036-54;055540036036;100mN32179E41227;MC;OS;2;70;M;6574;EMP
055540036036-54;055540036036;100mN32179E41227;MC;OS;2;75;F;75XX;NEP
055540036036-55;055540036036;100mN32179E41218;SM;MIX;2;87;F;75XX;EMP
055540036036-55;055540036036;100mN32179E41218;SM;MIX;2;7;F;0614;NEP
055540036036-56;055540036036;100mN32171E41222;MC;NA;4;61;M;5064;EMP
055540036036-56;055540036036;100mN32171E41222;MC;NA;4;62;M;5064;NEP
055540036036-56;055540036036;100mN32171E41222;MC;NA;4;16;M;1517;EMP
055540036036-56;055540036036;100mN32171E41222;MC;NA;4;32;M;3039;EMP
055540036036-57;055540036036;100mN32182E41213;MC;NA;2;26;M;2529;NEP
055540036036-57;055540036036;100mN32182E41213;MC;NA;2;23;F;1824;NEP
055540036036-58;055540036036;100mN32180E41215;MC;NA;2;22;F;1824;EMP
055540036036-58;055540036036;100mN32180E41215;MC;NA;2;26;F;2529;NEP
055540036036-59;055540036036;100mN32171E41223;S;NA;1;43;M;4049;EMP
055540036036-60;055540036036;100mN32173E41224;PO;MIX;2;81;F;75XX;EMP
055540036036-60;055540036036;100mN32173E41224;PO;MIX;2;21;M;1824;EMP
055540036036-61;055540036036;100mN32173E41224;MC;NA;4;61;F;5064;NEP
055540036036-61;055540036036;100mN32173E41224;MC;NA;4;54;F;5064;NEP
055540036036-61;055540036036;100mN32173E41224;MC;NA;4;9;M;0614;NEP
055540036036-61;055540036036;100mN32173E41224;MC;NA;4;42;F;4049;EMP
055540036036-62;055540036036;100mN32180E41239;S;OS;1;43;M;4049;EMP
055540036036-63;055540036036;100mN32181E41215;MC;NA;3;41;F;4049;EMP
055540036036-63;055540036036;100mN32181E41215;MC;NA;3;48;F;4049;EMP
055540036036-63;055540036036;100mN32181E41215;MC;NA;3;11;F;0614;NEP
055540036036-64;055540036036;100mN32173E41224;MC;NA;2;23;M;1824;EMP
055540036036-64;055540036036;100mN32173E41224;MC;NA;2;18;M;1824;EMP
055540036036-65;055540036036;100mN32199E41249;PO;OS;4;79;F;75XX;EMP
055540036036-65;055540036036;100mN32199E41249;PO;OS;4;72;M;6574;EMP
055540036036-65;055540036036;100mN32199E41249;PO;OS;4;80;F;75XX;UEP
055540036036-65;055540036036;100mN32199E41249;PO;OS;4;67;M;6574;EMP
055540036036-66;055540036036;100mN32172E41223;SF;NA;6;44;M;4049;NEP
055540036036-66;055540036036;100mN32172E41223;SF;NA;6;11;F;0614;NEP
055540036036-66;055540036036;100mN32172E41223;SF;NA;6;16;F;1517;EMP
055540036036-66;055540036036;100mN32172E41223;SF;NA;6;6;M;0614;NEP
055540036036-66;055540036036;100mN32172E41223;SF;NA;6;2;M;0003;NEP
055540036036-66;055540036036;100mN32172E41223;SF;NA;6;12;M;0614;NEP
055540036036-67;055540036036;100mN32177E41217;MC;OS;2;71;F;6574;EMP
055540036036-67;055540036036;100mN32177E41217;MC;OS;2;77;F;75XX;EMP
055540036036-68;055540036036;100mN32207E41261;MC;MIX;5;73;F;6574;EMP
055540036036-68;055540036036;100mN32207E41261;MC;MIX;5;35;F;3039;EMP
055540036036-68;055540036036;100mN32207E41261;MC;MIX;5;38;M;3039;EMP
055540036036-68;055540036036;100mN32207E41261;MC;MIX;5;6;M;0614;NEP
055540036036-68;055540036036;100mN32207E41261;MC;MIX;5;1;M;0003;NEP
055540036036-69;055540036036;100mN32171E41222;MC;MIX;6;70;F;6574;NEP
055540036036-69;055540036036;100mN32171E41222;MC;MIX;6;62;M;5064;NEP
055540036036-69;055540036036;100mN32171E41222;MC;MIX;6;59;M;5064;EMP
055540036036-69;055540036036;100mN32171E41222;MC;MIX;6;34;F;3039;EMP
055540036036-69;055540036036;100mN32171E41222;MC;MIX;6;13;M;0614;NEP
055540036036-69;055540036036;100mN32171E41222;MC;MIX;6;11;F;0614;NEP
055540036036-70;055540036036;100mN32173E41222;MC;NA;6;60;M;5064;EMP
055540036036-70;055540036036;100mN32173E41222;MC;NA;6;35;M;3039;EMP
055540036036-70;055540036036;100mN32173E41222;MC;NA;6;10;F;0614;NEP
055540036036-70;055540036036;100mN32173E41222;MC;NA;6;20;M;1824;EMP
055540036036-70;055540036036;100mN32173E41222;MC;NA;6;9;F;0614;NEP
055540036036-70;055540036036;100mN32173E41222;MC;NA;6;12;F;0614;NEP
055540036036-71;055540036036;100mN32176E41220;MC;NA;5;36;M;3039;EMP
055540036036-71;055540036036;100mN32176E41220;MC;NA;5;34;M;3039;NEP
055540036036-71;055540036036;100mN32176E41220;MC;NA;5;16;F;1517;EMP
055540036036-71;055540036036;100mN32176E41220;MC;NA;5;16;F;1517;NEP
055540036036-71;055540036036;100mN32176E41220;MC;NA;5;18;M;1824;EMP
055540036036-72;055540036036;100mN32171E41223;PO;NA;5;37;F;3039;EMP
055540036036-72;055540036036;100mN32171E41223;PO;NA;5;38;F;3039;EMP
055540036036-72;055540036036;100mN32171E41223;PO;NA;5;3;F;0305;NEP
055540036036-72;055540036036;100mN32171E41223;PO;NA;5;3;M;0305;NEP
055540036036-72;055540036036;100mN32171E41223;PO;NA;5;20;M;1824;NEP
055540036036-73;055540036036;100mN32173E41224;MC;NA;3;41;M;4049;EMP
055540036036-73;055540036036;100mN32173E41224;MC;NA;3;41;M;4049;EMP
055540036036-73;055540036036;100mN32173E41224;MC;NA;3;25;M;2529;EMP
055540036036-74;055540036036;100mN32178E41218;MC;OS;3;73;F;6574;EMP
055540036036-74;055540036036;100mN32178E41218;MC;OS;3;75;F;75XX;EMP
055540036036-74;055540036036;100mN32178E41218;MC;OS;3;86;F;75XX;NEP
055540036036-75;055540036036;100mN32173E41224;MC;NA;3;36;F;3039;NEP
055540036036-75;055540036036;100mN32173E41224;MC;NA;3;45;M;4049;NEP
055540036036-75;055540036036;100mN32173E41224;MC;NA;3;7;M;0614;NEP
055540036036-76;055540036036;100mN32173E41224;MC;NA;2;33;M;3039;EMP
055540036036-76;055540036036;100mN32173E41224;MC;NA;2;26;M;2529;EMP
055540036036-77;055540036036;100mN32180E41220;MC;MIX;4;80;F;75XX;NEP
055540036036-77;055540036036;100mN32180E41220;MC;MIX;4;59;M;5064;EMP
055540036036-77;055540036036;100mN32180E41220;MC;MIX;4;56;M;5064;EMP
055540036036-77;055540036036;100mN32180E41220;MC;MIX;4;8;M;0614;NEP
055540036036-78;055540036036;100mN32180E41224;SF;NA;6;44;M;4049;NEP
055540036036-78;055540036036;100mN32180E41224;SF;NA;6;16;F;1517;NEP
055540036036-78;055540036036;100mN32180E41224;SF;NA;6;28;F;2529;NEP
055540036036-78;055540036036;100mN32180E41224;SF;NA;6;10;M;0614;NEP
055540036036-78;055540036036;100mN32180E41224;SF;NA;6;19;M;1824;EMP
055540036036-78;055540036036;100mN32180E41224;SF;NA;6;26;M;2529;EMP
055540036036-79;055540036036;100mN32173E41224;MC;NA;4;42;F;4049;NEP
055540036036-79;055540036036;100mN32173E41224;MC;NA;4;47;M;4049;EMP
055540036036-79;055540036036;100mN32173E41224;MC;NA;4;2;M;0003;NEP
055540036036-79;055540036036;100mN32173E41224;MC;NA;4;6;F;0614;NEP
055540036036-80;055540036036;100mN32199E41206;S;NA;1;42;M;4049;EMP
055540036036-81;055540036036;100mN32173E41224;MC;OS;5;89;M;75XX;EMP
055540036036-81;055540036036;100mN32173E41224;MC;OS;5;12;F;0614;NEP
055540036036-81;055540036036;100mN32173E41224;MC;OS;5;75;M;75XX;EMP
055540036036-81;055540036036;100mN32173E41224;MC;OS;5;71;M;6574;NEP
055540036036-81;055540036036;100mN32173E41224;MC;OS;5;65;F;6574;EMP
055540036036-82;055540036036;100mN32173E41224;MC;MIX;4;75;F;75XX;EMP
055540036036-82;055540036036;100mN32173E41224;MC;MIX;4;36;F;3039;EMP
055540036036-82;055540036036;100mN32173E41224;MC;MIX;4;44;M;4049;EMP
055540036036-82;055540036036;100mN32173E41224;MC;MIX;4;2;F;0003;NEP
055540036036-83;055540036036;100mN32173E41224;MC;NA;4;44;F;4049;EMP
055540036036-83;055540036036;100mN32173E41224;MC;NA;4;35;M;3039;NEP
055540036036-83;055540036036;100mN32173E41224;MC;NA;4;9;F;0614;NEP
055540036036-83;055540036036;100mN32173E41224;MC;NA;4;27;M;2529;EMP
055540036036-84;055540036036;100mN32176E41215;MC;MIX;5;70;F;6574;EMP
055540036036-84;055540036036;100mN32176E41215;MC;MIX;5;40;M;4049;EMP
055540036036-84;055540036036;100mN32176E41215;MC;MIX;5;41;M;4049;EMP
055540036036-84;055540036036;100mN32176E41215;MC;MIX;5;3;M;0305;NEP
055540036036-84;055540036036;100mN32176E41215;MC;MIX;5;8;M;0614;NEP
055540036036-85;055540036036;100mN32173E41224;MC;MIX;2;85;F;75XX;NEP
055540036036-85;055540036036;100mN32173E41224;MC;MIX;2;46;F;4049;EMP
055540036036-86;055540036036;100mN32178E41226;MC;MIX;5;76;M;75XX;EMP
055540036036-86;055540036036;100mN32178E41226;MC;MIX;5;58;F;5064;EMP
055540036036-86;055540036036;100mN32178E41226;MC;MIX;5;57;M;5064;EMP
055540036036-86;055540036036;100mN32178E41226;MC;MIX;5;15;F;1517;NEP
055540036036-86;055540036036;100mN32178E41226;MC;MIX;5;35;F;3039;NEP
055540036036-87;055540036036;100mN32173E41224;MC;NA;5;43;M;4049;EMP
055540036036-87;055540036036;100mN32173E41224;MC;NA;5;38;F;3039;EMP
055540036036-87;055540036036;100mN32173E41224;MC;NA;5;3;F;0305;NEP
055540036036-87;055540036036;100mN32173E41224;MC;NA;5;2;M;0003;NEP
055540036036-87;055540036036;100mN32173E41224;MC;NA;5;4;M;0305;NEP
055540036036-88;055540036036;100mN32201E41254;SF;NA;4;44;F;4049;EMP
055540036036-88;055540036036;100mN32201E41254;SF;NA;4;11;M;0614;NEP
055540036036-88;055540036036;100mN32201E41254;SF;NA;4;28;M;2529;NEP
055540036036-88;055540036036;100mN32201E41254;SF;NA;4;11;M;0614;NEP
055540036036-89;055540036036;100mN32175E41222;NA;NA;5;80;M;75XX;NEP
055540036036-89;055540036036;100mN32175E41222;NA;NA;5;20;F;1824;EMP
055540036036-89;055540036036;100mN32175E41222;NA;NA;5;82;F;75XX;EMP
055540036036-89;055540036036;100mN32175E41222;NA;NA;5;43;M;4049;EMP
055540036036-89;055540036036;100mN32175E41222;NA;NA;5;32;M;3039;EMP
055540036036-90;055540036036;100mN32175E41222;MC;NA;2;47;M;4049;EMP
055540036036-90;055540036036;100mN32175E41222;MC;NA;2;48;F;4049;EMP
055540036036-91;055540036036;100mN32197E41253;MC;NA;3;52;M;5064;EMP
055540036036-91;055540036036;100mN32197E41253;MC;NA;3;47;M;4049;NEP
055540036036-91;055540036036;100mN32197E41253;MC;NA;3;1;F;0003;NEP
055540036036-92;055540036036;100mN32175E41217;MC;OS;4;81;M;75XX;NEP
055540036036-92;055540036036;100mN32175E41217;MC;OS;4;80;F;75XX;EMP
055540036036-92;055540036036;100mN32175E41217;MC;OS;4;71;F;6574;NEP
055540036036-92;055540036036;100mN32175E41217;MC;OS;4;76;M;75XX;EMP
055540036036-93;055540036036;100mN32180E41223;MC;NA;5;57;M;5064;EMP
055540036036-93;055540036036;100mN32180E41223;MC;NA;5;57;F;5064;NEP
055540036036-93;055540036036;100mN32180E41223;MC;NA;5;9;F;0614;NEP
055540036036-93;055540036036;100mN32180E41223;MC;NA;5;7;M;0614;NEP
055540036036-93;055540036036;100mN32180E41223;MC;NA;5;2;F;0003;NEP
055540036036-94;055540036036;100mN32180E41226;MC;OS;2;69;F;6574;EMP
055540036036-94;055540036036;100mN32180E41226;MC;OS;2;67;M;6574;EMP
055540036036-95;055540036036;100mN32170E41229;MC;NA;5;60;M;5064;NEP
055540036036-95;055540036036;100mN32170E41229;MC;NA;5;55;M;5064;EMP
055540036036-95;055540036036;100mN32170E41229;MC;NA;5;26;M;2529;EMP
055540036036-95;055540036036;100mN32170E41229;MC;NA;5;45;M;4049;EMP
055540036036-95;055540036036;100mN32170E41229;MC;NA;5;32;F;3039;EMP
055540036036-96;055540036036;100mN32177E41219;MC;NA;3;31;M;3039;EMP
055540036036-96;055540036036;100mN32177E41219;MC;NA;3;28;F;2529;NEP
055540036036-96;055540036036;100mN32177E41219;MC;NA;3;16;F;1517;NEP
055540036036-97;055540036036;100mN32175E41217;S;NA;1;45;F;4049;EMP
055540036036-98;055540036036;100mN32179E41224;S;NA;1;40;F;4049;EMP
055540036036-99;055540036036;100mN32175E41217;S;NA;1;38;F;3039;EMP
055540036036-100;055540036036;100mN32171E41218;MC;NA;2;33;M;3039;EMP
055540036036-100;055540036036;100mN32171E41218;MC;NA;2;33;M;3039;EMP
055540036036-101;055540036036;100mN32201E41249;NA;MIX;6;48;F;4049;EMP
055540036036-101;055540036036;100mN32201E41249;NA;MIX;6;36;F;3039;EMP
055540036036-101;055540036036;100mN32201E41249;NA;MIX;6;47;F;4049;NEP
055540036036-101;055540036036;100mN32201E41249;NA;MIX;6;82;F;75XX;NEP
055540036036-101;055540036036;100mN32201E41249;NA;MIX;6;81;F;75XX;EMP
055540036036-101;055540036036;100mN32201E41249;NA;MIX;6;59;M;5064;EMP
055540036036-102;055540036036;100mN32214E41221;S;NA;1;56;M;5064;EMP
055540036036-103;055540036036;100mN32179E41219;MC;NA;6;53;M;5064;EMP
055540036036-103;055540036036;100mN32179E41219;MC;NA;6;50;M;5064;EMP
055540036036-103;055540036036;100mN32179E41219;MC;NA;6;27;M;2529;EMP
055540036036-103;055540036036;100mN32179E41219;MC;NA;6;2;F;0003;NEP
055540036036-103;055540036036;100mN32179E41219;MC;NA;6;22;F;1824;EMP
055540036036-103;055540036036;100mN32179E41219;MC;NA;6;10;M;0614;NEP
055540036036-104;055540036036;100mN32175E41219;MC;MIX;2;75;F;75XX;EMP
055540036036-104;055540036036;100mN32175E41219;MC;MIX;2;78;F;75XX;EMP
055540036036-105;055540036036;100mN32175E41215;MC;MIX;5;89;M;75XX;NEP
055540036036-105;055540036036;100mN32175E41215;MC;MIX;5;47;M;4049;EMP
055540036036-105;055540036036;100mN32175E41215;MC;MIX;5;40;M;4049;NEP
055540036036-105;055540036036;100mN32175E41215;MC;MIX;5;9;F;0614;NEP
055540036036-105;055540036036;100mN32175E41215;MC;MIX;5;8;F;0614;NEP
055540036036-106;055540036036;100mN32219E41212;S;NA;1;33;M;3039;EMP
055540036036-107;055540036036;100mN32170E41227;MC;MIX;6;71;F;6574;NEP
055540036036-107;055540036036;100mN32170E41227;MC;MIX;6;61;M;5064;EMP
055540036036-107;055540036036;100mN32170E41227;MC;MIX;6;58;M;5064;EMP
055540036036-107;055540036036;100mN32170E41227;MC;MIX;6;38;F;3039;NEP
055540036036-107;055540036036;100mN32170E41227;MC;MIX;6;3;M;0305;NEP
055540036036-107;055540036036;100mN32170E41227;MC;MIX;6;8;M;0614;NEP
055540036036-108;055540036036;100mN32171E41222;SF;NA;4;56;M;5064;EMP
055540036036-108;055540036036;100mN32171E41222;SF;NA;4;9;M;0614;NEP
055540036036-108;055540036036;100mN32171E41222;SF;NA;4;23;M;1824;NEP
055540036036-108;055540036036;100mN32171E41222;SF;NA;4;7;F;0614;NEP
055540036036-109;055540036036;100mN32170E41229;MC;NA;4;48;F;4049;EMP
055540036036-109;055540036036;100mN32170E41229;MC;NA;4;52;M;5064;EMP
055540036036-109;055540036036;100mN32170E41229;MC;NA;4;10;F;0614;NEP
055540036036-109;055540036036;100mN32170E41229;MC;NA;4;11;F;0614;NEP
055540036036-110;055540036036;100mN32175E41219;MC;NA;2;45;M;4049;EMP
